animal,food,preference,time_of_day,timestamp
Cat,Orange,2,Afternoon,2024-05-09 16:00:56
Cat,Orange,4,Afternoon,2024-07-15 05:05:46
bird,Banana,5,Afternoon,2024-03-31 11:07:32
Cat,Orange,2,Evening,2024-03-31 23:40:26
bird,Watermelon,3,Afternoon,2024-05-05 10:25:47
bird,Apple,1,Evening,2024-07-06 20:31:23
bird,Banana,1,Evening,2024-06-01 10:49:36
Cat,Orange,3,Evening,2024-02-12 17:12:15
Dog,Grape,4,Morning,2024-01-11 17:35:28
Dog,Banana,5,Evening,2024-03-25 18:04:42
Cat,Banana,5,Evening,2024-06-21 19:39:10
Cat,Apple,5,Afternoon,2024-06-14 19:12:41
bird,Banana,1,Afternoon,2024-03-17 22:55:05
bird,Watermelon,1,Afternoon,2024-01-11 00:45:10
bird,Apple,5,Afternoon,2024-01-24 19:50:41
Cat,Orange,3,Afternoon,2024-03-18 04:19:07
bird,Orange,5,Morning,2024-04-18 07:14:29
Dog,Banana,5,Afternoon,2024-03-04 16:58:08
bird,Apple,5,Afternoon,2024-06-23 08:47:06
bird,Watermelon,1,Morning,2024-06-11 08:46:46
Cat,Watermelon,5,Morning,2024-06-04 19:52:25
Cat,Banana,3,Evening,2024-03-29 12:27:18
bird,Grape,1,Morning,2024-04-07 08:34:14
Cat,Orange,5,Afternoon,2024-02-14 17:17:55
Dog,Orange,2,Morning,2024-01-02 04:32:38
bird,Grape,2,Morning,2024-06-24 09:06:17
Cat,Grape,3,Evening,2024-07-07 19:51:03
bird,Banana,4,Evening,2024-04-04 08:34:20
bird,Apple,3,Morning,2024-03-01 03:58:11
Cat,Grape,1,Morning,2024-02-23 18:13:02
bird,Grape,3,Evening,2024-04-30 00:12:12
Dog,Banana,5,Morning,2024-07-13 05:42:23
bird,Apple,4,Evening,2024-03-23 09:37:50
Dog,Orange,1,Afternoon,2024-04-30 06:38:44
bird,Apple,3,Morning,2024-06-01 13:49:56
bird,Orange,4,Afternoon,2024-03-16 05:44:54
Dog,Watermelon,3,Evening,2024-04-19 10:37:07
bird,Grape,5,Afternoon,2024-01-18 07:10:36
bird,Apple,1,Morning,2024-03-10 08:57:20
bird,Grape,5,Morning,2024-05-14 14:04:40
Cat,Orange,4,Afternoon,2024-03-03 18:28:06
Cat,Orange,2,Morning,2024-02-02 00:32:39
Dog,Grape,1,Morning,2024-06-03 10:18:02
bird,Apple,3,Morning,2024-03-28 05:11:03
Dog,Banana,4,Evening,2024-07-07 07:04:34
Cat,Grape,4,Evening,2024-05-06 20:53:32
Cat,Grape,5,Afternoon,2024-02-08 15:43:05
Dog,Grape,5,Evening,2024-02-14 09:25:02
Cat,Grape,1,Morning,2024-07-12 00:58:23
Cat,Banana,4,Afternoon,2024-05-08 13:18:24
Cat,Watermelon,2,Evening,2024-06-28 18:04:03
bird,Grape,4,Evening,2024-05-29 21:22:46
Dog,Watermelon,1,Morning,2024-06-27 17:44:40
Dog,Watermelon,5,Evening,2024-04-10 03:17:54
Cat,Orange,4,Morning,2024-03-24 20:00:40
bird,Grape,5,Afternoon,2024-05-11 05:55:10
bird,Watermelon,5,Evening,2024-05-16 15:20:10
Cat,Watermelon,1,Morning,2024-05-04 19:09:22
bird,Watermelon,5,Afternoon,2024-03-18 02:42:12
Cat,Grape,1,Evening,2024-05-23 03:31:31
bird,Watermelon,4,Afternoon,2024-05-13 22:25:55
Dog,Orange,5,Afternoon,2024-05-09 12:56:31
bird,Watermelon,1,Afternoon,2024-06-04 00:31:20
bird,Grape,2,Evening,2024-04-03 17:03:31
bird,Grape,3,Morning,2024-07-04 17:06:03
Cat,Grape,1,Evening,2024-05-30 23:07:50
bird,Apple,4,Morning,2024-03-19 07:26:17
Cat,Apple,2,Morning,2024-04-16 22:27:45
Dog,Apple,5,Morning,2024-04-25 23:05:46
Dog,Watermelon,5,Morning,2024-05-10 05:34:57
Dog,Apple,5,Afternoon,2024-02-11 14:28:05
bird,Banana,5,Morning,2024-04-27 17:49:13
Cat,Banana,1,Afternoon,2024-03-03 18:16:56
Dog,Watermelon,2,Evening,2024-05-12 13:21:19
Dog,Grape,2,Evening,2024-05-21 17:36:52
bird,Orange,2,Morning,2024-01-30 13:51:53
Dog,Watermelon,3,Afternoon,2024-02-23 03:54:12
bird,Orange,2,Morning,2024-04-26 00:03:52
Cat,Grape,2,Afternoon,2024-05-18 05:09:13
Cat,Orange,3,Morning,2024-05-03 05:51:29
Cat,Apple,5,Evening,2024-02-12 03:05:39
Cat,Grape,2,Morning,2024-03-31 11:26:34
bird,Banana,4,Morning,2024-01-04 04:42:42
Cat,Apple,5,Afternoon,2024-03-07 06:41:32
Dog,Watermelon,4,Morning,2024-04-13 02:41:09
Dog,Grape,3,Evening,2024-05-22 22:00:03
Cat,Orange,5,Afternoon,2024-01-22 19:50:55
Dog,Watermelon,2,Morning,2024-02-19 10:05:50
Dog,Watermelon,1,Afternoon,2024-06-16 12:33:40
Cat,Orange,4,Morning,2024-03-29 19:40:26
Dog,Banana,1,Evening,2024-03-02 08:32:33
bird,Banana,3,Afternoon,2024-03-02 10:59:56
Cat,Watermelon,3,Morning,2024-02-13 06:03:38
bird,Grape,4,Afternoon,2024-02-01 04:32:12
bird,Watermelon,5,Morning,2024-03-14 12:23:04
Cat,Orange,5,Morning,2024-01-17 06:02:11
bird,Orange,2,Morning,2024-01-09 04:11:43
bird,Grape,1,Afternoon,2024-03-12 01:38:13
Cat,Apple,5,Afternoon,2024-03-22 10:59:52
Cat,Grape,5,Morning,2024-05-16 07:22:43
bird,Orange,1,Afternoon,2024-01-26 18:49:44
Cat,Orange,1,Afternoon,2024-03-19 17:31:38
Dog,Grape,2,Morning,2024-05-21 11:05:48
Cat,Banana,3,Morning,2024-04-09 11:07:45
bird,Watermelon,1,Evening,2024-06-09 18:06:04
Dog,Apple,4,Morning,2024-05-13 20:10:25
Dog,Orange,1,Afternoon,2024-01-03 20:09:30
Dog,Orange,3,Morning,2024-04-30 15:55:56
bird,Watermelon,1,Afternoon,2024-02-26 15:01:42
bird,Grape,2,Evening,2024-01-15 23:59:01
bird,Banana,2,Evening,2024-03-03 04:07:33
Dog,Grape,4,Afternoon,2024-06-17 13:00:56
Cat,Watermelon,1,Afternoon,2024-04-23 10:21:49
Dog,Orange,5,Morning,2024-02-13 20:16:54
Cat,Grape,2,Afternoon,2024-04-27 17:35:02
Cat,Grape,4,Afternoon,2024-06-10 17:43:23
Cat,Banana,1,Afternoon,2024-06-13 04:27:43
Cat,Apple,4,Afternoon,2024-05-31 04:53:58
bird,Apple,4,Morning,2024-02-20 12:26:23
Dog,Grape,4,Morning,2024-05-21 21:47:13
Dog,Apple,5,Afternoon,2024-04-27 01:35:28
bird,Grape,1,Afternoon,2024-05-27 02:00:54
Cat,Apple,5,Morning,2024-06-19 20:52:31
Cat,Orange,3,Evening,2024-05-05 15:10:57
bird,Orange,3,Evening,2024-01-10 01:27:52
bird,Apple,5,Afternoon,2024-06-21 06:43:09
bird,Banana,5,Evening,2024-02-26 03:04:46
bird,Banana,5,Afternoon,2024-02-29 04:58:30
Dog,Orange,1,Afternoon,2024-04-10 23:29:24
Dog,Apple,4,Evening,2024-04-18 06:23:11
bird,Apple,1,Afternoon,2024-05-03 09:36:25
bird,Apple,5,Morning,2024-01-14 04:16:01
Cat,Orange,5,Evening,2024-03-25 05:37:30
Dog,Banana,5,Afternoon,2024-04-28 20:34:35
Cat,Banana,4,Morning,2024-03-29 17:28:04
bird,Apple,2,Morning,2024-03-28 19:11:01
Dog,Watermelon,4,Evening,2024-07-02 03:40:53
Cat,Orange,4,Evening,2024-02-02 13:53:24
bird,Banana,3,Evening,2024-05-14 18:49:12
Cat,Apple,5,Afternoon,2024-01-26 04:18:56
Cat,Watermelon,5,Evening,2024-03-13 01:26:21
Cat,Banana,1,Morning,2024-03-27 03:22:45
Dog,Grape,5,Morning,2024-04-14 16:10:55
Dog,Orange,4,Evening,2024-01-10 18:03:12
bird,Apple,5,Evening,2024-02-01 20:42:47
Cat,Orange,4,Afternoon,2024-03-17 16:15:53
Cat,Orange,4,Afternoon,2024-03-25 13:07:17
Dog,Orange,1,Evening,2024-07-08 14:59:44
bird,Orange,2,Evening,2024-05-11 13:50:42
Dog,Watermelon,2,Afternoon,2024-04-26 15:28:56
bird,Apple,5,Morning,2024-04-21 12:23:56
Dog,Orange,1,Afternoon,2024-05-03 01:06:14
bird,Apple,5,Morning,2024-04-06 21:26:23
Dog,Grape,3,Afternoon,2024-02-21 07:14:21
bird,Banana,5,Afternoon,2024-06-24 03:55:50
Cat,Banana,1,Evening,2024-02-21 17:30:42
Cat,Watermelon,1,Evening,2024-07-17 18:11:05
bird,Apple,5,Morning,2024-05-06 03:36:48
Cat,Orange,1,Morning,2024-07-07 06:24:46
Cat,Apple,1,Afternoon,2024-04-08 08:02:08
Dog,Watermelon,5,Afternoon,2024-06-23 11:32:12
Cat,Watermelon,5,Evening,2024-01-04 22:52:32
Dog,Banana,3,Morning,2024-05-18 17:53:24
bird,Orange,4,Afternoon,2024-01-10 13:33:57
Cat,Grape,3,Afternoon,2024-01-07 00:29:00
Cat,Watermelon,1,Morning,2024-01-25 15:29:32
Dog,Watermelon,3,Afternoon,2024-03-27 01:40:08
Cat,Grape,5,Evening,2024-02-01 03:13:59
Dog,Banana,1,Morning,2024-01-13 00:01:14
bird,Orange,2,Morning,2024-06-16 10:15:32
Cat,Watermelon,4,Afternoon,2024-02-22 10:04:38
Dog,Orange,5,Evening,2024-01-14 16:08:10
Dog,Apple,1,Morning,2024-01-16 02:13:17
bird,Apple,5,Afternoon,2024-03-05 18:09:32
Dog,Watermelon,5,Evening,2024-03-22 20:52:43
Dog,Grape,2,Morning,2024-06-08 21:59:17
bird,Watermelon,5,Morning,2024-02-10 22:59:39
Dog,Banana,4,Evening,2024-06-17 05:30:51
Cat,Banana,4,Afternoon,2024-03-06 19:47:57
Dog,Banana,2,Morning,2024-05-15 12:39:54
Dog,Banana,3,Afternoon,2024-03-23 00:14:17
Dog,Orange,3,Morning,2024-02-12 07:00:16
Dog,Grape,1,Afternoon,2024-03-17 04:46:51
Cat,Banana,1,Morning,2024-01-19 18:00:46
bird,Watermelon,4,Evening,2024-02-12 10:47:06
Cat,Orange,1,Afternoon,2024-06-20 17:58:55
